basevcv1	basevcv2	basevcv3	basevcv4	basevcv5	basevcv6	basevcv7	basevcv8	basevcv9	basevcv10	basevcv11	basevcv12	basevcv13	basevcv14	basevcv15	basevcv16	basevcv17	basevcv18	basevcv19
1.89e-07	1.26e-09	-2.89e-08	-5.46e-10	-5.02e-11	2.47e-07	8.60e-08	2.35e-06	-3.46e-06	1.67e-07	3.08e-06	-1.51e-06	-2.35e-07	7.67e-07	-6.74e-07	7.71e-08	-.0001459	-5.09e-06	5.92e-06
1.26e-09	2.16e-09	9.16e-09	-1.22e-09	-3.78e-11	3.59e-08	7.82e-08	-1.32e-07	5.50e-08	9.46e-08	-1.00e-07	5.02e-08	-1.98e-07	-1.07e-07	8.88e-08	3.69e-09	-7.72e-06	-7.65e-07	5.54e-07
-2.89e-08	9.16e-09	8.52e-07	-5.01e-09	5.03e-10	8.70e-07	-1.10e-06	2.04e-06	-3.15e-06	-6.82e-06	-4.12e-06	-1.39e-08	-6.85e-07	-.0000213	1.67e-06	-5.37e-08	.0001035	-.0000369	7.09e-06
-5.46e-10	-1.22e-09	-5.01e-09	1.11e-08	-5.54e-10	-6.21e-08	1.02e-06	7.68e-07	1.93e-07	6.44e-07	3.42e-08	-2.99e-08	8.90e-08	1.41e-06	-1.04e-06	3.83e-08	-.0000689	2.03e-06	-1.13e-06
-5.02e-11	-3.78e-11	5.03e-10	-5.54e-10	1.29e-10	1.29e-08	-2.50e-07	-2.80e-09	-2.43e-09	-1.36e-07	4.24e-08	-1.28e-08	8.72e-09	-4.77e-08	3.02e-08	-1.10e-08	.0000216	-4.10e-07	1.88e-07
2.47e-07	3.59e-08	8.70e-07	-6.21e-08	1.29e-08	.0000148	-.0000261	-4.86e-06	-.0000252	-.0001115	-9.76e-06	-.0000124	2.13e-06	6.96e-07	-.0000116	-5.99e-07	.0014119	-.0004419	.0001982
8.60e-08	7.82e-08	-1.10e-06	1.02e-06	-2.50e-07	-.0000261	.0004852	2.55e-06	6.96e-06	.0002749	-.0000812	.0000251	-.0000179	.000084	-.0000508	.0000214	-.0418744	.000831	-.0003776
2.35e-06	-1.32e-07	2.04e-06	7.68e-07	-2.80e-09	-4.86e-06	2.55e-06	.0018644	-.000667	-.0001704	.0001557	-.0001312	.0000183	.0002709	-.0001101	-4.26e-06	.0083834	.0001579	-.0001784
-3.46e-06	5.50e-08	-3.15e-06	1.93e-07	-2.43e-09	-.0000252	6.96e-06	-.000667	.0019813	.0004929	-.0003388	.0000718	.0000162	-.0004918	-.000071	-4.99e-06	.0095805	.00056	-.0001985
1.67e-07	9.46e-08	-6.82e-06	6.44e-07	-1.36e-07	-.0001115	.0002749	-.0001704	.0004929	.0043191	-.00069	.0000471	-.0000327	-.0002293	.0000301	.0000108	-.0232993	.0036679	-.0013811
3.08e-06	-1.00e-07	-4.12e-06	3.42e-08	4.24e-08	-9.76e-06	-.0000812	.0001557	-.0003388	-.00069	.0024923	-.0001304	3.54e-06	-.0003829	-.0000572	8.03e-06	-.0158837	.0004454	.0000421
-1.51e-06	5.02e-08	-1.39e-08	-2.99e-08	-1.28e-08	-.0000124	.0000251	-.0001312	.0000718	.0000471	-.0001304	.000285	-1.42e-06	.0000819	.0000306	1.80e-07	-.0004733	.0004132	-.0001579
-2.35e-07	-1.98e-07	-6.85e-07	8.90e-08	8.72e-09	2.13e-06	-.0000179	.0000183	.0000162	-.0000327	3.54e-06	-1.42e-06	.0000376	-.0000129	-.0000241	-1.08e-06	.0023436	-.0001296	.0000241
7.67e-07	-1.07e-07	-.0000213	1.41e-06	-4.77e-08	6.96e-07	.000084	.0002709	-.0004918	-.0002293	-.0003829	.0000819	-.0000129	.004275	-.0001039	-1.22e-06	.0032499	.0005675	.0000177
-6.74e-07	8.88e-08	1.67e-06	-1.04e-06	3.02e-08	-.0000116	-.0000508	-.0001101	-.000071	.0000301	-.0000572	.0000306	-.0000241	-.0001039	.0001937	-4.86e-06	.0079982	.0004229	-.0001544
7.71e-08	3.69e-09	-5.37e-08	3.83e-08	-1.10e-08	-5.99e-07	.0000214	-4.26e-06	-4.99e-06	.0000108	8.03e-06	1.80e-07	-1.08e-06	-1.22e-06	-4.86e-06	1.94e-06	-.0037735	.0000235	-7.15e-07
-.0001459	-7.72e-06	.0001035	-.0000689	.0000216	.0014119	-.0418744	.0083834	.0095805	-.0232993	-.0158837	-.0004733	.0023436	.0032499	.0079982	-.0037735	7.340149	-.0544526	.0046843
-5.09e-06	-7.65e-07	-.0000369	2.03e-06	-4.10e-07	-.0004419	.000831	.0001579	.00056	.0036679	.0004454	.0004132	-.0001296	.0005675	.0004229	.0000235	-.0544526	.0158894	-.0052387
5.92e-06	5.54e-07	7.09e-06	-1.13e-06	1.88e-07	.0001982	-.0003776	-.0001784	-.0001985	-.0013811	.0000421	-.0001579	.0000241	.0000177	-.0001544	-7.15e-07	.0046843	-.0052387	.0033016
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
