f15polvcv1	f15polvcv2	f15polvcv3	f15polvcv4	f15polvcv5	f15polvcv6	f15polvcv7	f15polvcv8	f15polvcv9	f15polvcv10	f15polvcv11	f15polvcv12	f15polvcv13	f15polvcv14	f15polvcv15	f15polvcv16	f15polvcv17	f15polvcv18	f15polvcv19
7.30e-07	-5.49e-09	4.34e-07	1.44e-07	-1.24e-08	1.91e-07	.0000238	8.37e-06	-.0000115	-4.65e-06	-4.25e-06	6.26e-07	-6.42e-07	-.0000124	-1.58e-06	-4.44e-08	.00009	-6.54e-06	.0000159
-5.49e-09	4.03e-07	-1.45e-07	-5.55e-07	1.28e-09	1.29e-06	7.58e-07	-4.23e-06	6.84e-06	-5.10e-06	3.78e-06	5.23e-07	8.16e-09	.0000107	-2.19e-07	-1.11e-07	.0002196	1.66e-06	-.0000129
4.34e-07	-1.45e-07	.0000102	7.72e-07	-5.93e-08	-7.02e-06	.0001106	-.000012	.0000177	.0000116	-.0000241	2.40e-06	-5.68e-07	-.000018	2.98e-07	-3.45e-07	.0006281	.000017	.0000449
1.44e-07	-5.55e-07	7.72e-07	1.55e-06	-2.98e-08	-1.93e-06	.000048	.0000138	-.0000117	9.26e-06	-.0000125	-1.70e-06	-4.69e-08	-.0000146	-3.02e-06	4.34e-07	-.0008263	-6.69e-06	.0000288
-1.24e-08	1.28e-09	-5.93e-08	-2.98e-08	2.08e-08	6.77e-08	-.0000406	2.37e-07	-1.09e-06	-2.17e-06	1.23e-06	2.88e-07	1.27e-07	-1.39e-06	-3.40e-08	-2.28e-08	.0000465	2.88e-07	1.74e-06
1.91e-07	1.29e-06	-7.02e-06	-1.93e-06	6.77e-08	.0001838	-.0001351	.0001859	-.0003202	-3.55e-07	.0002593	4.08e-06	-3.12e-06	-.0002849	-.0000329	1.05e-06	-.0017331	-.0004285	-.0001579
.0000238	7.58e-07	.0001106	.000048	-.0000406	-.0001351	.0789856	-.000543	.0022181	.0042219	-.0023687	-.0005601	-.0002516	.002807	.0001	.0000412	-.0844317	-.0004855	-.0035348
8.37e-06	-4.23e-06	-.000012	.0000138	2.37e-07	.0001859	-.000543	.004408	-.0015068	-.000199	.000215	-.0000889	.000037	.0001962	-.0002974	-.0000265	.0529425	-.0004281	.0001099
-.0000115	6.84e-06	.0000177	-.0000117	-1.09e-06	-.0003202	.0022181	-.0015068	.0054208	.0010377	-.0007959	.0000963	.0001167	-.0004645	-.0000715	-.0000192	.0362707	.0018286	.0000982
-4.65e-06	-5.10e-06	.0000116	9.26e-06	-2.17e-06	-3.55e-07	.0042219	-.000199	.0010377	.0064633	-.0012405	.0000128	.0000118	-.0004033	-9.57e-06	-1.12e-06	.0005137	-.0001271	.0002004
-4.25e-06	3.78e-06	-.0000241	-.0000125	1.23e-06	.0002593	-.0023687	.000215	-.0007959	-.0012405	.0038272	-.0000556	.0000425	-.0002383	-.0001216	.0000232	-.0451399	-.0008434	-.0003713
6.26e-07	5.23e-07	2.40e-06	-1.70e-06	2.88e-07	4.08e-06	-.0005601	-.0000889	.0000963	.0000128	-.0000556	.000192	.0000206	-.0001443	-.0000217	-1.32e-06	.0028412	.0000938	-.0001569
-6.42e-07	8.16e-09	-5.68e-07	-4.69e-08	1.27e-07	-3.12e-06	-.0002516	.000037	.0001167	.0000118	.0000425	.0000206	.0000591	-.0000377	-.0000434	-9.61e-07	.0021843	.0000463	.0000216
-.0000124	.0000107	-.000018	-.0000146	-1.39e-06	-.0002849	.002807	.0001962	-.0004645	-.0004033	-.0002383	-.0001443	-.0000377	.0113371	-.0001458	7.43e-06	-.0134332	.000179	-.0005129
-1.58e-06	-2.19e-07	2.98e-07	-3.02e-06	-3.40e-08	-.0000329	.0001	-.0002974	-.0000715	-9.57e-06	-.0001216	-.0000217	-.0000434	-.0001458	.0002244	-8.97e-06	.0159225	.000079	-.0001681
-4.44e-08	-1.11e-07	-3.45e-07	4.34e-07	-2.28e-08	1.05e-06	.0000412	-.0000265	-.0000192	-1.12e-06	.0000232	-1.32e-06	-9.61e-07	7.43e-06	-8.97e-06	4.41e-06	-.0085284	-.0000112	9.09e-06
.00009	.0002196	.0006281	-.0008263	.0000465	-.0017331	-.0844317	.0529425	.0362707	.0005137	-.0451399	.0028412	.0021843	-.0134332	.0159225	-.0085284	16.5239	.0209827	-.0165925
-6.54e-06	1.66e-06	.000017	-6.69e-06	2.88e-07	-.0004285	-.0004855	-.0004281	.0018286	-.0001271	-.0008434	.0000938	.0000463	.000179	.000079	-.0000112	.0209827	.0027466	-.0001708
.0000159	-.0000129	.0000449	.0000288	1.74e-06	-.0001579	-.0035348	.0001099	.0000982	.0002004	-.0003713	-.0001569	.0000216	-.0005129	-.0001681	9.09e-06	-.0165925	-.0001708	.0040095
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
