fe_fertility10vcv1	fe_fertility10vcv2	fe_fertility10vcv3	fe_fertility10vcv4	fe_fertility10vcv5	fe_fertility10vcv6	fe_fertility10vcv7	fe_fertility10vcv8	fe_fertility10vcv9
.002971	-.0001611	-8.83e-06	-3.60e-06	.0001479	.0001018	-.0000158	-.0001309	.0308939
-.0001611	.0007703	-5.57e-06	-2.48e-06	-.0001524	-.0002416	.0000571	.0001455	-.1146381
-8.83e-06	-5.57e-06	.0000108	8.64e-06	-1.48e-06	.0000151	-4.73e-06	-.0000106	.0092743
-3.60e-06	-2.48e-06	8.64e-06	.0000197	-1.75e-06	6.74e-06	-6.41e-06	-.0000228	.0126688
.0001479	-.0001524	-1.48e-06	-1.75e-06	.0003275	.0003094	-.0000312	-.0001545	.0598094
.0001018	-.0002416	.0000151	6.74e-06	.0003094	.0006431	-.0000617	-.0002811	.11781
-.0000158	.0000571	-4.73e-06	-6.41e-06	-.0000312	-.0000617	.0000127	.0000375	-.0249517
-.0001309	.0001455	-.0000106	-.0000228	-.0001545	-.0002811	.0000375	.0056562	-.0724203
.0308939	-.1146381	.0092743	.0126688	.0598094	.11781	-.0249517	-.0724203	49.00144
								
								
								
								
								
								
								
								
								
								
								
