fe_fertilityexist1vcv1	fe_fertilityexist1vcv2	fe_fertilityexist1vcv3	fe_fertilityexist1vcv4	fe_fertilityexist1vcv5	fe_fertilityexist1vcv6	fe_fertilityexist1vcv7	fe_fertilityexist1vcv8	fe_fertilityexist1vcv9
.0003733	-.0000129	-3.90e-06	-3.87e-06	-1.57e-06	.0000219	-1.21e-06	-.0000264	.0022631
-.0000129	.000024	1.17e-06	9.51e-07	-8.80e-07	-6.57e-06	1.17e-06	8.54e-06	-.0023746
-3.90e-06	1.17e-06	8.44e-07	4.92e-07	-1.20e-07	1.78e-07	-3.17e-08	-1.12e-07	.000056
-3.87e-06	9.51e-07	4.92e-07	8.95e-07	1.81e-07	-2.07e-07	-1.18e-07	-3.29e-07	.0002319
-1.57e-06	-8.80e-07	-1.20e-07	1.81e-07	7.92e-06	5.23e-06	-5.64e-07	3.26e-06	.0010775
.0000219	-6.57e-06	1.78e-07	-2.07e-07	5.23e-06	.0000201	-1.66e-06	2.92e-06	.0031542
-1.21e-06	1.17e-06	-3.17e-08	-1.18e-07	-5.64e-07	-1.66e-06	2.57e-07	7.64e-07	-.0005007
-.0000264	8.54e-06	-1.12e-07	-3.29e-07	3.26e-06	2.92e-06	7.64e-07	.0005014	-.0015613
.0022631	-.0023746	.000056	.0002319	.0010775	.0031542	-.0005007	-.0015613	.9775451
								
								
								
								
								
								
								
								
								
								
								
