fe_fpopvcv1	fe_fpopvcv2	fe_fpopvcv3	fe_fpopvcv4	fe_fpopvcv5	fe_fpopvcv6	fe_fpopvcv7	fe_fpopvcv8
.000074	1.34e-07	-2.64e-07	-7.99e-07	7.70e-07	-3.57e-07	8.04e-10	-.0000171
1.34e-07	.0000105	-5.91e-07	-4.69e-07	3.02e-08	-2.79e-06	-1.46e-06	.0019823
-2.64e-07	-5.91e-07	4.10e-07	3.12e-07	1.15e-08	5.21e-08	7.23e-08	-.0000914
-7.99e-07	-4.69e-07	3.12e-07	5.05e-07	-2.88e-08	1.50e-07	3.85e-08	-.0000361
7.70e-07	3.02e-08	1.15e-08	-2.88e-08	5.39e-06	9.67e-07	-8.40e-08	.0001552
-3.57e-07	-2.79e-06	5.21e-08	1.50e-07	9.67e-07	6.27e-06	2.77e-08	.0001404
8.04e-10	-1.46e-06	7.23e-08	3.85e-08	-8.40e-08	2.77e-08	2.70e-07	-.0004065
-.0000171	.0019823	-.0000914	-.0000361	.0001552	.0001404	-.0004065	.6292534
							
							
							
							
							
							
							
							
							
							
							
							
