fe_interact2vcv1	fe_interact2vcv2	fe_interact2vcv3	fe_interact2vcv4	fe_interact2vcv5	fe_interact2vcv6	fe_interact2vcv7	fe_interact2vcv8	fe_interact2vcv9	fe_interact2vcv10	fe_interact2vcv11
.0000142	5.42e-06	7.14e-06	-1.78e-06	1.01e-07	-6.90e-09	-1.07e-06	2.17e-07	1.91e-08	7.09e-06	-.0000395
5.42e-06	.0000116	6.10e-06	2.16e-06	1.31e-07	4.73e-09	-6.40e-07	1.73e-07	-5.82e-09	5.34e-07	7.80e-06
7.14e-06	6.10e-06	.0000169	3.08e-06	-4.30e-08	-3.91e-09	-7.76e-07	2.54e-07	-2.85e-08	9.13e-06	.0000514
-1.78e-06	2.16e-06	3.08e-06	.0001389	-2.34e-06	-1.61e-06	7.70e-07	1.63e-06	-7.38e-07	-5.62e-07	.0013727
1.01e-07	1.31e-07	-4.30e-08	-2.34e-06	7.51e-07	6.98e-08	-1.04e-07	-6.79e-08	2.27e-08	1.10e-06	-.0000432
-6.90e-09	4.73e-09	-3.91e-09	-1.61e-06	6.98e-08	5.28e-08	1.39e-08	-8.11e-09	5.89e-09	-7.82e-08	-.0000108
-1.07e-06	-6.40e-07	-7.76e-07	7.70e-07	-1.04e-07	1.39e-08	1.17e-06	1.29e-07	-1.64e-08	7.76e-07	.0000308
2.17e-07	1.73e-07	2.54e-07	1.63e-06	-6.79e-08	-8.11e-09	1.29e-07	3.45e-07	-3.04e-08	-1.57e-07	.0000563
1.91e-08	-5.82e-09	-2.85e-08	-7.38e-07	2.27e-08	5.89e-09	-1.64e-08	-3.04e-08	6.69e-09	7.69e-08	-.0000126
7.09e-06	5.34e-07	9.13e-06	-5.62e-07	1.10e-06	-7.82e-08	7.76e-07	-1.57e-07	7.69e-08	.0000727	-.0001511
-.0000395	7.80e-06	.0000514	.0013727	-.0000432	-.0000108	.0000308	.0000563	-.0000126	-.0001511	.0236175
										
										
										
										
										
										
										
										
										
