fe_polem4vcv1	fe_polem4vcv2	fe_polem4vcv3	fe_polem4vcv4	fe_polem4vcv5	fe_polem4vcv6	fe_polem4vcv7	fe_polem4vcv8	fe_polem4vcv9
.0000196	2.87e-06	3.65e-07	-2.02e-08	-6.72e-07	6.33e-07	-1.69e-08	2.35e-06	.0000247
2.87e-06	.0003591	-3.03e-06	-3.92e-06	4.92e-06	3.81e-06	-1.86e-06	.0000143	.0034534
3.65e-07	-3.03e-06	8.62e-07	1.11e-07	-1.42e-07	-1.26e-07	3.67e-08	3.38e-07	-.0000699
-2.02e-08	-3.92e-06	1.11e-07	1.31e-07	-3.48e-08	-5.40e-09	1.22e-08	-1.94e-07	-.0000221
-6.72e-07	4.92e-06	-1.42e-07	-3.48e-08	2.49e-06	4.75e-07	-6.28e-08	1.78e-07	.0001173
6.33e-07	3.81e-06	-1.26e-07	-5.40e-09	4.75e-07	9.68e-07	-8.52e-08	-9.31e-08	.0001579
-1.69e-08	-1.86e-06	3.67e-08	1.22e-08	-6.28e-08	-8.52e-08	1.81e-08	-6.02e-09	-.0000341
2.35e-06	.0000143	3.38e-07	-1.94e-07	1.78e-07	-9.31e-08	-6.02e-09	.0000696	4.85e-06
.0000247	.0034534	-.0000699	-.0000221	.0001173	.0001579	-.0000341	4.85e-06	.0642079
								
								
								
								
								
								
								
								
								
								
								
