fe_polembd15vcv1	fe_polembd15vcv2	fe_polembd15vcv3	fe_polembd15vcv4	fe_polembd15vcv5	fe_polembd15vcv6	fe_polembd15vcv7	fe_polembd15vcv8	fe_polembd15vcv9
2.11e-06	6.82e-06	5.75e-08	-2.03e-07	-7.42e-07	1.30e-06	-8.74e-08	-5.51e-08	.0001559
6.82e-06	.0020245	-8.40e-07	-.0000139	.0000168	.0000415	-.0000214	-.0000267	.0408024
5.75e-08	-8.40e-07	4.69e-07	3.73e-07	2.60e-07	5.29e-07	-7.35e-08	-7.19e-07	.0001408
-2.03e-07	-.0000139	3.73e-07	9.00e-07	5.50e-07	2.80e-07	-6.70e-08	-2.42e-06	.0001368
-7.42e-07	.0000168	2.60e-07	5.50e-07	.0000136	3.76e-06	-5.50e-07	-.0000116	.001045
1.30e-06	.0000415	5.29e-07	2.80e-07	3.76e-06	.0000127	-1.58e-06	-2.10e-06	.0029835
-8.74e-08	-.0000214	-7.35e-08	-6.70e-08	-5.50e-07	-1.58e-06	4.75e-07	8.78e-07	-.0009133
-5.51e-08	-.0000267	-7.19e-07	-2.42e-06	-.0000116	-2.10e-06	8.78e-07	.0001991	-.0017024
.0001559	.0408024	.0001408	.0001368	.001045	.0029835	-.0009133	-.0017024	1.758234
								
								
								
								
								
								
								
								
								
								
								
