fe_polemintermed2vcv1	fe_polemintermed2vcv2	fe_polemintermed2vcv3	fe_polemintermed2vcv4	fe_polemintermed2vcv5	fe_polemintermed2vcv6	fe_polemintermed2vcv7	fe_polemintermed2vcv8	fe_polemintermed2vcv9	fe_polemintermed2vcv10	fe_polemintermed2vcv11	fe_polemintermed2vcv12	fe_polemintermed2vcv13	fe_polemintermed2vcv14
8.51e-06	-1.79e-06	-2.91e-06	-1.97e-06	3.29e-07	4.00e-07	1.29e-06	1.67e-07	-2.88e-08	-8.13e-07	-2.84e-07	-2.01e-08	3.47e-06	6.55e-06
-1.79e-06	.0001459	-9.07e-06	1.62e-06	-2.13e-06	-1.97e-07	-3.12e-06	-2.67e-06	-1.77e-06	1.19e-06	1.77e-06	-7.42e-07	5.18e-06	.0013928
-2.91e-06	-9.07e-06	.0000156	5.06e-06	2.21e-06	-1.64e-07	-1.63e-07	-6.43e-07	1.60e-07	1.17e-07	2.25e-07	3.36e-08	-4.64e-06	-.000051
-1.97e-06	1.62e-06	5.06e-06	.0000195	-9.32e-07	-5.44e-07	3.42e-06	3.84e-07	2.04e-07	2.64e-07	2.03e-07	7.61e-08	3.01e-06	-.0001122
3.29e-07	-2.13e-06	2.21e-06	-9.32e-07	3.59e-06	9.62e-09	1.51e-06	6.40e-09	2.86e-08	-4.96e-08	1.76e-07	7.94e-10	-3.31e-07	-3.11e-06
4.00e-07	-1.97e-07	-1.64e-07	-5.44e-07	9.62e-09	2.44e-07	-3.01e-07	-4.99e-08	-5.25e-09	-2.15e-07	-2.40e-07	-2.49e-08	-8.42e-07	.0000293
1.29e-06	-3.12e-06	-1.63e-07	3.42e-06	1.51e-06	-3.01e-07	.0000238	3.35e-07	6.91e-08	-2.45e-07	3.88e-07	7.12e-08	-9.14e-07	-.0001172
1.67e-07	-2.67e-06	-6.43e-07	3.84e-07	6.40e-09	-4.99e-08	3.35e-07	7.92e-07	8.72e-08	-4.65e-08	-1.99e-08	2.91e-08	1.20e-06	-.0000517
-2.88e-08	-1.77e-06	1.60e-07	2.04e-07	2.86e-08	-5.25e-09	6.91e-08	8.72e-08	5.87e-08	1.83e-08	-1.14e-08	7.94e-09	1.03e-08	-.0000144
-8.13e-07	1.19e-06	1.17e-07	2.64e-07	-4.96e-08	-2.15e-07	-2.45e-07	-4.65e-08	1.83e-08	1.27e-06	3.26e-07	4.38e-09	1.28e-06	7.47e-06
-2.84e-07	1.77e-06	2.25e-07	2.03e-07	1.76e-07	-2.40e-07	3.88e-07	-1.99e-08	-1.14e-08	3.26e-07	5.79e-07	-5.59e-09	7.56e-07	.000027
-2.01e-08	-7.42e-07	3.36e-08	7.61e-08	7.94e-10	-2.49e-08	7.12e-08	2.91e-08	7.94e-09	4.38e-09	-5.59e-09	9.27e-09	1.22e-07	-.0000156
3.47e-06	5.18e-06	-4.64e-06	3.01e-06	-3.31e-07	-8.42e-07	-9.14e-07	1.20e-06	1.03e-08	1.28e-06	7.56e-07	1.22e-07	.0000745	-.000175
6.55e-06	.0013928	-.000051	-.0001122	-3.11e-06	.0000293	-.0001172	-.0000517	-.0000144	7.47e-06	.000027	-.0000156	-.000175	.027286
													
													
													
													
													
													
