fe_polemwardur15vcv1	fe_polemwardur15vcv2	fe_polemwardur15vcv3	fe_polemwardur15vcv4	fe_polemwardur15vcv5	fe_polemwardur15vcv6	fe_polemwardur15vcv7	fe_polemwardur15vcv8	fe_polemwardur15vcv9
1.47e-06	.0000115	-1.42e-07	-2.39e-07	-1.22e-06	8.52e-07	-1.16e-07	-6.23e-07	.0002145
.0000115	.0019394	-9.98e-06	-.0000233	-5.76e-07	.0000362	-9.98e-06	7.50e-06	.018411
-1.42e-07	-9.98e-06	7.02e-07	4.06e-07	3.48e-07	2.34e-07	4.08e-08	-3.05e-08	-.0000776
-2.39e-07	-.0000233	4.06e-07	8.98e-07	3.13e-07	-3.89e-07	6.08e-08	-6.43e-07	-.0001058
-1.22e-06	-5.76e-07	3.48e-07	3.13e-07	.0000143	1.44e-06	-1.48e-07	-2.03e-06	.000279
8.52e-07	.0000362	2.34e-07	-3.89e-07	1.44e-06	8.14e-06	-7.81e-07	-1.24e-06	.0014509
-1.16e-07	-9.98e-06	4.08e-08	6.08e-08	-1.48e-07	-7.81e-07	1.43e-07	3.95e-08	-.0002701
-6.23e-07	7.50e-06	-3.05e-08	-6.43e-07	-2.03e-06	-1.24e-06	3.95e-08	.0001751	-.0000715
.0002145	.018411	-.0000776	-.0001058	.000279	.0014509	-.0002701	-.0000715	.5101787
								
								
								
								
								
								
								
								
								
								
								
