fe_popvcv1	fe_popvcv2	fe_popvcv3	fe_popvcv4	fe_popvcv5	fe_popvcv6	fe_popvcv7	fe_popvcv8
.000418	9.29e-06	-.0000149	-.0000241	-.0000181	-6.36e-06	-2.87e-07	-.0002388
9.29e-06	8.13e-06	-1.11e-06	-1.44e-06	-.0000124	-8.27e-06	-7.38e-07	.0007975
-.0000149	-1.11e-06	3.54e-06	1.61e-06	2.64e-06	-4.95e-08	1.20e-07	-.0001369
-.0000241	-1.44e-06	1.61e-06	2.76e-06	6.62e-08	2.76e-07	9.40e-08	-.0000582
-.0000181	-.0000124	2.64e-06	6.62e-08	.0001917	.0000257	4.51e-07	-3.66e-06
-6.36e-06	-8.27e-06	-4.95e-08	2.76e-07	.0000257	.0000183	2.37e-07	.0001223
-2.87e-07	-7.38e-07	1.20e-07	9.40e-08	4.51e-07	2.37e-07	1.32e-07	-.0001971
-.0002388	.0007975	-.0001369	-.0000582	-3.66e-06	.0001223	-.0001971	.3166969
							
							
							
							
							
							
							
							
							
							
							
							
