f10polvcv1	f10polvcv2	f10polvcv3	f10polvcv4	f10polvcv5	f10polvcv6	f10polvcv7	f10polvcv8	f10polvcv9	f10polvcv10	f10polvcv11	f10polvcv12	f10polvcv13	f10polvcv14	f10polvcv15	f10polvcv16	f10polvcv17	f10polvcv18	f10polvcv19
7.29e-07	-4.70e-08	3.28e-07	1.29e-07	-1.06e-08	2.76e-06	.0000199	5.42e-06	-.0000125	-3.05e-06	-1.81e-06	1.45e-06	-7.54e-07	-8.18e-06	-1.37e-06	-2.37e-08	.0000517	-.0000245	.0000157
-4.70e-08	1.81e-07	-1.11e-07	-2.23e-07	-2.75e-09	3.29e-07	6.71e-06	-2.04e-06	2.41e-06	-2.98e-06	1.85e-06	5.59e-08	-1.22e-07	3.97e-07	-1.56e-07	-5.46e-08	.0001077	2.80e-06	-8.70e-06
3.28e-07	-1.11e-07	7.16e-06	5.03e-07	-4.05e-08	-2.47e-06	.0000753	5.82e-06	5.01e-06	2.84e-06	-9.32e-06	1.15e-06	-1.16e-06	-.0000156	-4.56e-07	-6.07e-07	.001154	-7.60e-06	.0000354
1.29e-07	-2.23e-07	5.03e-07	6.47e-07	-9.93e-09	-1.10e-06	.000015	5.14e-06	-2.50e-06	-1.52e-07	-7.83e-06	-3.29e-07	-6.68e-08	-4.50e-06	-1.49e-06	1.75e-07	-.0003294	-7.83e-08	.0000177
-1.06e-08	-2.75e-09	-4.05e-08	-9.93e-09	8.32e-09	-1.83e-09	-.0000162	4.96e-07	-3.95e-07	-8.63e-07	8.86e-07	1.43e-07	8.57e-08	-3.57e-07	-4.38e-08	-1.92e-08	.0000385	3.30e-07	1.16e-06
2.76e-06	3.29e-07	-2.47e-06	-1.10e-06	-1.83e-09	.000295	-.0000125	.0002804	-.0002453	.0004334	.0000467	-.0000198	6.65e-06	-.0003629	-.0001185	-7.89e-07	.0023206	-.0015148	.0000477
.0000199	6.71e-06	.0000753	.000015	-.0000162	-.0000125	.031607	-.0010198	.0008143	.0016708	-.0016886	-.000282	-.0001707	.0007594	.0001125	.0000362	-.0730941	-.0005079	-.0023514
5.42e-06	-2.04e-06	5.82e-06	5.14e-06	4.96e-07	.0002804	-.0010198	.004086	-.0012228	-.0003285	.0000617	-.0000251	.000045	-.0001682	-.0002847	-.0000176	.0356125	-.0011703	.000262
-.0000125	2.41e-06	5.01e-06	-2.50e-06	-3.95e-07	-.0002453	.0008143	-.0012228	.005447	.0010378	-.0004247	.0000627	.0001171	-.0002846	-.0000998	-.0000295	.0566547	.0012942	-8.74e-06
-3.05e-06	-2.98e-06	2.84e-06	-1.52e-07	-8.63e-07	.0004334	.0016708	-.0003285	.0010378	.005255	-.000438	-.0000907	.0000371	-.0006937	-.0000965	6.10e-06	-.0127542	-.0025747	.0003454
-1.81e-06	1.85e-06	-9.32e-06	-7.83e-06	8.86e-07	.0000467	-.0016886	.0000617	-.0004247	-.000438	.0031072	-.0000269	.0000105	-.0004927	-.0000565	.0000167	-.0331175	-.0001642	-.0000896
1.45e-06	5.59e-08	1.15e-06	-3.29e-07	1.43e-07	-.0000198	-.000282	-.0000251	.0000627	-.0000907	-.0000269	.0001972	.0000158	.0000534	-.000011	-3.80e-07	.0009684	.0002146	-.0001754
-7.54e-07	-1.22e-07	-1.16e-06	-6.68e-08	8.57e-08	6.65e-06	-.0001707	.000045	.0001171	.0000371	.0000105	.0000158	.0000586	.0000624	-.0000454	-1.95e-06	.0041416	-.000072	.000021
-8.18e-06	3.97e-07	-.0000156	-4.50e-06	-3.57e-07	-.0003629	.0007594	-.0001682	-.0002846	-.0006937	-.0004927	.0000534	.0000624	.0115495	.0000195	3.31e-06	-.0067998	.0017704	-.0003106
-1.37e-06	-1.56e-07	-4.56e-07	-1.49e-06	-4.38e-08	-.0001185	.0001125	-.0002847	-.0000998	-.0000965	-.0000565	-.000011	-.0000454	.0000195	.0002667	-5.64e-06	.0090453	.000625	-.0001413
-2.37e-08	-5.46e-08	-6.07e-07	1.75e-07	-1.92e-08	-7.89e-07	.0000362	-.0000176	-.0000295	6.10e-06	.0000167	-3.80e-07	-1.95e-06	3.31e-06	-5.64e-06	3.92e-06	-.0076032	-9.00e-07	7.32e-06
.0000517	.0001077	.001154	-.0003294	.0000385	.0023206	-.0730941	.0356125	.0566547	-.0127542	-.0331175	.0009684	.0041416	-.0067998	.0090453	-.0076032	14.77873	-.0022056	-.0134478
-.0000245	2.80e-06	-7.60e-06	-7.83e-08	3.30e-07	-.0015148	-.0005079	-.0011703	.0012942	-.0025747	-.0001642	.0002146	-.000072	.0017704	.000625	-9.00e-07	-.0022056	.0107226	-.0006835
.0000157	-8.70e-06	.0000354	.0000177	1.16e-06	.0000477	-.0023514	.000262	-8.74e-06	.0003454	-.0000896	-.0001754	.000021	-.0003106	-.0001413	7.32e-06	-.0134478	-.0006835	.0038486
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
