fe_fertility2vcv1	fe_fertility2vcv2	fe_fertility2vcv3	fe_fertility2vcv4	fe_fertility2vcv5	fe_fertility2vcv6	fe_fertility2vcv7	fe_fertility2vcv8	fe_fertility2vcv9
.000235	-.0000166	-1.04e-07	-2.69e-06	6.96e-06	.000018	-5.73e-07	.0000223	.0009403
-.0000166	.0000739	1.82e-06	1.29e-06	-8.84e-08	-.0000175	1.67e-06	-.0000504	-.0032814
-1.04e-07	1.82e-06	1.94e-06	1.13e-06	1.74e-08	6.99e-07	-1.51e-07	-1.03e-06	.0002889
-2.69e-06	1.29e-06	1.13e-06	1.85e-06	3.32e-07	-1.63e-07	-2.81e-07	3.24e-07	.0005528
6.96e-06	-8.84e-08	1.74e-08	3.32e-07	.0000174	.0000135	-1.33e-06	-1.89e-07	.002521
.000018	-.0000175	6.99e-07	-1.63e-07	.0000135	.0000525	-3.92e-06	.0000101	.0073644
-5.73e-07	1.67e-06	-1.51e-07	-2.81e-07	-1.33e-06	-3.92e-06	6.48e-07	2.25e-06	-.0012687
.0000223	-.0000504	-1.03e-06	3.24e-07	-1.89e-07	.0000101	2.25e-06	.000119	-.0048188
.0009403	-.0032814	.0002889	.0005528	.002521	.0073644	-.0012687	-.0048188	2.490175
								
								
								
								
								
								
								
								
								
								
								
