fe_fertilityexist0vcv1	fe_fertilityexist0vcv2	fe_fertilityexist0vcv3	fe_fertilityexist0vcv4	fe_fertilityexist0vcv5	fe_fertilityexist0vcv6	fe_fertilityexist0vcv7	fe_fertilityexist0vcv8	fe_fertilityexist0vcv9
.0000892	-2.14e-07	-1.41e-06	-1.04e-06	-1.17e-06	4.33e-06	-2.63e-07	-4.37e-06	.0005021
-2.14e-07	7.95e-06	1.69e-07	2.08e-07	-2.27e-07	-1.97e-06	1.68e-07	-5.67e-06	-.0003278
-1.41e-06	1.69e-07	2.90e-07	1.56e-07	2.62e-08	6.51e-08	-1.37e-08	-4.22e-08	.000026
-1.04e-06	2.08e-07	1.56e-07	2.18e-07	6.88e-08	-4.73e-08	-2.24e-08	8.79e-08	.0000436
-1.17e-06	-2.27e-07	2.62e-08	6.88e-08	2.16e-06	1.10e-06	-1.17e-07	2.35e-07	.0002234
4.33e-06	-1.97e-06	6.51e-08	-4.73e-08	1.10e-06	4.50e-06	-3.48e-07	1.29e-06	.0006551
-2.63e-07	1.68e-07	-1.37e-08	-2.24e-08	-1.17e-07	-3.48e-07	6.11e-08	2.29e-07	-.00012
-4.37e-06	-5.67e-06	-4.22e-08	8.79e-08	2.35e-07	1.29e-06	2.29e-07	.0000138	-.0004966
.0005021	-.0003278	.000026	.0000436	.0002234	.0006551	-.00012	-.0004966	.2362113
								
								
								
								
								
								
								
								
								
								
								
