fe_fpopvcv1	fe_fpopvcv2	fe_fpopvcv3	fe_fpopvcv4	fe_fpopvcv5	fe_fpopvcv6	fe_fpopvcv7	fe_fpopvcv8
.0074026	1.34e-06	-.0000264	-.0000799	.000077	-.0000357	8.04e-08	-.0017054
1.34e-06	.0000105	-5.91e-06	-4.69e-06	3.02e-07	-.0000279	-.0000146	.0198226
-.0000264	-5.91e-06	.000041	.0000312	1.15e-06	5.21e-06	7.23e-06	-.009142
-.0000799	-4.69e-06	.0000312	.0000505	-2.88e-06	.000015	3.85e-06	-.0036072
.000077	3.02e-07	1.15e-06	-2.88e-06	.0005386	.0000967	-8.40e-06	.0155246
-.0000357	-.0000279	5.21e-06	.000015	.0000967	.0006267	2.77e-06	.0140357
8.04e-08	-.0000146	7.23e-06	3.85e-06	-8.40e-06	2.77e-06	.000027	-.0406506
-.0017054	.0198226	-.009142	-.0036072	.0155246	.0140357	-.0406506	62.92534
							
							
							
							
							
							
							
							
							
							
							
							
