fe_interact10vcv1	fe_interact10vcv2	fe_interact10vcv3	fe_interact10vcv4	fe_interact10vcv5	fe_interact10vcv6	fe_interact10vcv7	fe_interact10vcv8	fe_interact10vcv9	fe_interact10vcv10	fe_interact10vcv11
.0000537	.0000431	.0000436	-.0000138	-1.07e-06	6.07e-07	-4.04e-07	2.11e-06	-4.07e-07	.0000267	.0007742
.0000431	.0000907	.0000414	.0000296	-4.65e-07	-1.94e-07	-4.69e-06	2.96e-06	-4.34e-07	3.51e-06	.0008046
.0000436	.0000414	.0000501	-3.03e-06	-9.84e-07	7.33e-07	-6.59e-07	1.93e-06	-4.70e-07	.000019	.0008964
-.0000138	.0000296	-3.03e-06	.00141	-4.23e-06	-.000017	-7.12e-07	.0000133	-6.23e-06	-.000147	.0115252
-1.07e-06	-4.65e-07	-9.84e-07	-4.23e-06	6.09e-07	2.26e-07	1.94e-07	6.14e-08	4.44e-08	-4.15e-06	-.0000844
6.07e-07	-1.94e-07	7.33e-07	-.000017	2.26e-07	5.90e-07	2.10e-07	7.46e-08	5.46e-08	-2.82e-06	-.0000993
-4.04e-07	-4.69e-06	-6.59e-07	-7.12e-07	1.94e-07	2.10e-07	8.25e-06	1.47e-06	-9.76e-08	-2.99e-06	.0001812
2.11e-06	2.96e-06	1.93e-06	.0000133	6.14e-08	7.46e-08	1.47e-06	3.98e-06	-3.52e-07	-1.80e-06	.0006546
-4.07e-07	-4.34e-07	-4.70e-07	-6.23e-06	4.44e-08	5.46e-08	-9.76e-08	-3.52e-07	8.63e-08	-2.52e-06	-.0001628
.0000267	3.51e-06	.000019	-.000147	-4.15e-06	-2.82e-06	-2.99e-06	-1.80e-06	-2.52e-06	.0006297	.0048059
.0007742	.0008046	.0008964	.0115252	-.0000844	-.0000993	.0001812	.0006546	-.0001628	.0048059	.307411
										
										
										
										
										
										
										
										
										
