fe_irregularvcv1	fe_irregularvcv2	fe_irregularvcv3	fe_irregularvcv4	fe_irregularvcv5	fe_irregularvcv6	fe_irregularvcv7
.0001168	2.19e-06	1.38e-07	1.05e-06	-1.04e-06	-4.68e-08	.0000886
2.19e-06	.0000111	1.01e-06	-3.87e-07	-1.54e-08	-1.46e-07	.0002858
1.38e-07	1.01e-06	6.11e-07	-3.65e-07	-3.40e-07	-5.09e-08	.0001027
1.05e-06	-3.87e-07	-3.65e-07	.0000123	3.74e-06	-1.46e-07	.0002579
-1.04e-06	-1.54e-08	-3.40e-07	3.74e-06	5.63e-06	-2.55e-07	.0004585
-4.68e-08	-1.46e-07	-5.09e-08	-1.46e-07	-2.55e-07	2.80e-08	-.000053
.0000886	.0002858	.0001027	.0002579	.0004585	-.000053	.1007977
						
						
						
						
						
						
						
						
						
						
						
						
						
