fe_milpervcv1	fe_milpervcv2	fe_milpervcv3	fe_milpervcv4	fe_milpervcv5	fe_milpervcv6	fe_milpervcv7	fe_milpervcv8
.0001497	-.0001274	2.40e-06	-2.90e-06	.0000117	5.46e-06	-2.09e-07	.0004127
-.0001274	.0005821	-.0000222	9.85e-06	-.0000231	-.000021	7.79e-07	-.0016227
2.40e-06	-.0000222	2.98e-06	-3.26e-07	1.88e-06	7.14e-08	3.03e-08	-.0000505
-2.90e-06	9.85e-06	-3.26e-07	3.34e-07	-5.94e-07	-3.96e-07	-3.08e-09	4.94e-06
.0000117	-.0000231	1.88e-06	-5.94e-07	.000012	1.26e-06	-5.44e-09	9.20e-06
5.46e-06	-.000021	7.14e-08	-3.96e-07	1.26e-06	2.21e-06	-1.20e-07	.0002279
-2.09e-07	7.79e-07	3.03e-08	-3.08e-09	-5.44e-09	-1.20e-07	1.21e-08	-.0000232
.0004127	-.0016227	-.0000505	4.94e-06	9.20e-06	.0002279	-.0000232	.0447003
							
							
							
							
							
							
							
							
							
							
							
							
