fe_mpopvcv1	fe_mpopvcv2	fe_mpopvcv3	fe_mpopvcv4	fe_mpopvcv5	fe_mpopvcv6	fe_mpopvcv7	fe_mpopvcv8
.0086164	-.000016	-.0000151	-.0000719	.0001406	.000085	.0000191	-.0251312
-.000016	.0000109	-5.27e-06	-3.19e-06	.0000166	-.0000107	-.0000167	.0234588
-.0000151	-5.27e-06	.0000494	.000038	-.0000155	-.0000102	6.76e-06	-.0086595
-.0000719	-3.19e-06	.000038	.0000592	-.0000173	6.32e-06	9.63e-07	.0008494
.0001406	.0000166	-.0000155	-.0000173	.0006767	.0001056	-.0000366	.0569235
.000085	-.0000107	-.0000102	6.32e-06	.0001056	.0005207	-.0000178	.0403864
.0000191	-.0000167	6.76e-06	9.63e-07	-.0000366	-.0000178	.0000332	-.0508423
-.0251312	.0234588	-.0086595	.0008494	.0569235	.0403864	-.0508423	79.69215
							
							
							
							
							
							
							
							
							
							
							
							
