fe_polem5vcv1	fe_polem5vcv2	fe_polem5vcv3	fe_polem5vcv4	fe_polem5vcv5	fe_polem5vcv6	fe_polem5vcv7	fe_polem5vcv8	fe_polem5vcv9
.0000261	1.62e-06	-3.09e-08	-1.43e-08	-4.92e-07	9.03e-07	-1.88e-08	-3.94e-06	.0000277
1.62e-06	.0004923	-1.94e-06	-5.06e-06	3.50e-06	3.79e-06	-2.16e-06	-.0000462	.0039934
-3.09e-08	-1.94e-06	7.81e-07	9.89e-08	-2.73e-07	-1.43e-07	4.32e-08	-1.88e-06	-.0000824
-1.43e-08	-5.06e-06	9.89e-08	1.86e-07	-8.46e-09	2.22e-09	2.14e-08	-1.40e-06	-.0000393
-4.92e-07	3.50e-06	-2.73e-07	-8.46e-09	3.99e-06	6.91e-07	-9.35e-08	2.98e-06	.0001755
9.03e-07	3.79e-06	-1.43e-07	2.22e-09	6.91e-07	1.32e-06	-1.20e-07	1.69e-06	.0002236
-1.88e-08	-2.16e-06	4.32e-08	2.14e-08	-9.35e-08	-1.20e-07	3.02e-08	-1.29e-06	-.0000569
-3.94e-06	-.0000462	-1.88e-06	-1.40e-06	2.98e-06	1.69e-06	-1.29e-06	.00026	.0024596
.0000277	.0039934	-.0000824	-.0000393	.0001755	.0002236	-.0000569	.0024596	.1072772
								
								
								
								
								
								
								
								
								
								
								
