fe_polembd15vcv1	fe_polembd15vcv2	fe_polembd15vcv3	fe_polembd15vcv4	fe_polembd15vcv5	fe_polembd15vcv6	fe_polembd15vcv7	fe_polembd15vcv8	fe_polembd15vcv9
2.11e-06	8.43e-06	5.39e-08	-2.19e-07	-3.11e-07	1.33e-06	-6.39e-08	-4.95e-06	.0001102
8.43e-06	.002354	2.06e-06	-.0000114	.0000138	.0000335	-.0000175	-.0010186	.0335704
5.39e-08	2.06e-06	4.80e-07	3.80e-07	2.75e-07	3.94e-07	-2.71e-08	-9.36e-06	.0000526
-2.19e-07	-.0000114	3.80e-07	9.04e-07	6.30e-07	2.67e-07	-4.31e-08	-6.70e-06	.0000911
-3.11e-07	.0000138	2.75e-07	6.30e-07	.0000118	3.80e-06	-5.16e-07	-.0000101	.0009843
1.33e-06	.0000335	3.94e-07	2.67e-07	3.80e-06	.0000116	-1.31e-06	-.0000138	.0024806
-6.39e-08	-.0000175	-2.71e-08	-4.31e-08	-5.16e-07	-1.31e-06	4.14e-07	-1.25e-06	-.000797
-4.95e-06	-.0010186	-9.36e-06	-6.70e-06	-.0000101	-.0000138	-1.25e-06	.0021024	.0023067
.0001102	.0335704	.0000526	.0000911	.0009843	.0024806	-.000797	.0023067	1.535624
								
								
								
								
								
								
								
								
								
								
								
