fe_polemintermed0vcv1	fe_polemintermed0vcv2	fe_polemintermed0vcv3	fe_polemintermed0vcv4	fe_polemintermed0vcv5	fe_polemintermed0vcv6	fe_polemintermed0vcv7	fe_polemintermed0vcv8	fe_polemintermed0vcv9	fe_polemintermed0vcv10	fe_polemintermed0vcv11	fe_polemintermed0vcv12	fe_polemintermed0vcv13	fe_polemintermed0vcv14
1.73e-06	1.41e-07	-1.06e-06	-7.09e-07	-5.16e-09	2.83e-09	-8.06e-08	-7.54e-09	-1.79e-08	-2.04e-08	-6.77e-09	-1.35e-09	-2.56e-07	3.69e-07
1.41e-07	.0000274	-3.80e-06	-9.27e-07	1.04e-08	-7.36e-09	1.81e-06	-4.83e-07	-3.14e-07	7.34e-07	3.15e-07	-1.09e-07	-2.09e-06	.0002056
-1.06e-06	-3.80e-06	7.79e-06	6.67e-07	1.01e-07	3.93e-09	-8.84e-07	-9.96e-08	5.77e-08	-2.49e-07	-1.04e-08	2.96e-09	5.53e-07	-7.99e-06
-7.09e-07	-9.27e-07	6.67e-07	2.72e-06	-2.09e-08	-3.38e-09	7.33e-07	8.06e-08	4.31e-08	-1.82e-07	-2.84e-08	9.31e-09	3.56e-07	-.0000159
-5.16e-09	1.04e-08	1.01e-07	-2.09e-08	1.14e-08	1.49e-10	4.38e-08	9.14e-10	-1.24e-10	1.42e-09	-5.03e-10	-9.90e-12	-1.58e-08	-1.23e-07
2.83e-09	-7.36e-09	3.93e-09	-3.38e-09	1.49e-10	3.03e-10	-6.45e-09	-7.35e-11	3.48e-11	-2.69e-09	-2.82e-09	-3.37e-10	6.88e-09	4.14e-07
-8.06e-08	1.81e-06	-8.84e-07	7.33e-07	4.38e-08	-6.45e-09	7.67e-06	1.62e-07	1.47e-08	1.36e-07	1.19e-07	9.85e-09	-1.56e-06	-.0000156
-7.54e-09	-4.83e-07	-9.96e-08	8.06e-08	9.14e-10	-7.35e-11	1.62e-07	2.06e-07	1.10e-08	-2.75e-08	-1.87e-08	4.27e-09	2.63e-08	-8.04e-06
-1.79e-08	-3.14e-07	5.77e-08	4.31e-08	-1.24e-10	3.48e-11	1.47e-08	1.10e-08	1.05e-08	-2.12e-09	-4.57e-09	1.53e-09	-5.15e-08	-2.86e-06
-2.04e-08	7.34e-07	-2.49e-07	-1.82e-07	1.42e-09	-2.69e-09	1.36e-07	-2.75e-08	-2.12e-09	6.57e-07	7.25e-08	-2.43e-09	-2.09e-07	6.38e-06
-6.77e-09	3.15e-07	-1.04e-08	-2.84e-08	-5.03e-10	-2.82e-09	1.19e-07	-1.87e-08	-4.57e-09	7.25e-08	7.21e-08	-1.06e-09	-2.50e-08	3.92e-06
-1.35e-09	-1.09e-07	2.96e-09	9.31e-09	-9.90e-12	-3.37e-10	9.85e-09	4.27e-09	1.53e-09	-2.43e-09	-1.06e-09	1.44e-09	-4.06e-08	-2.46e-06
-2.56e-07	-2.09e-06	5.53e-07	3.56e-07	-1.58e-08	6.88e-09	-1.56e-06	2.63e-08	-5.15e-08	-2.09e-07	-2.50e-08	-4.06e-08	8.25e-06	.0000719
3.69e-07	.0002056	-7.99e-06	-.0000159	-1.23e-07	4.14e-07	-.0000156	-8.04e-06	-2.86e-06	6.38e-06	3.92e-06	-2.46e-06	.0000719	.0043206
													
													
													
													
													
													
