fe_polemwardur3vcv1	fe_polemwardur3vcv2	fe_polemwardur3vcv3	fe_polemwardur3vcv4	fe_polemwardur3vcv5	fe_polemwardur3vcv6	fe_polemwardur3vcv7	fe_polemwardur3vcv8	fe_polemwardur3vcv9
2.58e-07	-4.29e-09	3.82e-08	1.38e-08	-7.67e-08	8.71e-08	7.56e-10	-8.96e-07	-1.98e-06
-4.29e-09	.0002324	-2.04e-06	-2.31e-06	3.30e-06	2.22e-06	-1.08e-06	-.0000231	.0020086
3.82e-08	-2.04e-06	7.33e-07	9.87e-08	-1.24e-07	-1.17e-07	3.26e-08	-1.26e-06	-.0000619
1.38e-08	-2.31e-06	9.87e-08	8.91e-08	-2.22e-08	-1.53e-08	1.26e-08	-8.35e-07	-.0000233
-7.67e-08	3.30e-06	-1.24e-07	-2.22e-08	1.60e-06	2.12e-07	-3.24e-08	-4.44e-07	.0000607
8.71e-08	2.22e-06	-1.17e-07	-1.53e-08	2.12e-07	6.11e-07	-5.71e-08	9.34e-07	.000106
7.56e-10	-1.08e-06	3.26e-08	1.26e-08	-3.24e-08	-5.71e-08	1.44e-08	-6.45e-07	-.0000271
-8.96e-07	-.0000231	-1.26e-06	-8.35e-07	-4.44e-07	9.34e-07	-6.45e-07	.0001331	.0012241
-1.98e-06	.0020086	-.0000619	-.0000233	.0000607	.000106	-.0000271	.0012241	.0510596
								
								
								
								
								
								
								
								
								
								
								
