fe_popvcv1	fe_popvcv2	fe_popvcv3	fe_popvcv4	fe_popvcv5	fe_popvcv6	fe_popvcv7	fe_popvcv8
.0418004	.0000929	-.0014922	-.0024084	-.0018083	-.000636	-.0000287	-.023879
.0000929	8.13e-06	-.0000111	-.0000144	-.0001239	-.0000827	-7.38e-06	.007975
-.0014922	-.0000111	.0003544	.0001614	.0002637	-4.95e-06	.000012	-.0136874
-.0024084	-.0000144	.0001614	.0002756	6.62e-06	.0000276	9.40e-06	-.0058197
-.0018083	-.0001239	.0002637	6.62e-06	.0191692	.0025683	.0000451	-.0003655
-.000636	-.0000827	-4.95e-06	.0000276	.0025683	.0018262	.0000237	.0122293
-.0000287	-7.38e-06	.000012	9.40e-06	.0000451	.0000237	.0000132	-.0197132
-.023879	.007975	-.0136874	-.0058197	-.0003655	.0122293	-.0197132	31.66968
							
							
							
							
							
							
							
							
							
							
							
							
