f5polvcv1	f5polvcv2	f5polvcv3	f5polvcv4	f5polvcv5	f5polvcv6	f5polvcv7	f5polvcv8	f5polvcv9	f5polvcv10	f5polvcv11	f5polvcv12	f5polvcv13	f5polvcv14	f5polvcv15	f5polvcv16	f5polvcv17	f5polvcv18	f5polvcv19
1.03e-06	-2.68e-08	1.24e-07	-3.01e-08	9.89e-09	.0000149	-.0000204	6.38e-06	-.0000172	-.000024	6.59e-06	-6.11e-06	7.78e-07	-4.81e-06	-5.12e-06	3.60e-09	.0000604	-.000155	.0000499
-2.68e-08	4.65e-08	9.17e-09	-3.90e-08	-1.83e-09	-4.45e-07	3.88e-06	-1.10e-06	1.43e-06	4.87e-07	-1.44e-07	3.29e-08	-6.11e-07	6.98e-07	3.98e-07	-2.66e-08	.0000475	4.50e-06	-1.51e-06
1.24e-07	9.17e-09	4.72e-06	9.93e-08	6.72e-09	.0000102	-.0000153	-2.32e-06	-3.35e-07	-.000025	5.43e-06	-4.63e-06	1.52e-06	-.0000594	-6.13e-06	-2.66e-07	.0005885	-.000124	.0000367
-3.01e-08	-3.90e-08	9.93e-08	2.00e-07	-8.18e-09	-1.84e-06	.0000148	3.23e-06	1.43e-06	8.05e-06	-6.46e-07	7.20e-07	-1.87e-08	-2.96e-06	-2.57e-06	2.35e-07	-.0004492	.0000276	-6.16e-06
9.89e-09	-1.83e-09	6.72e-09	-8.18e-09	2.98e-09	5.28e-07	-5.84e-06	2.81e-07	-2.53e-07	-1.70e-06	3.33e-07	-1.26e-07	1.18e-07	-1.95e-07	-1.08e-07	-4.34e-08	.0000874	-5.54e-06	1.93e-06
.0000149	-4.45e-07	.0000102	-1.84e-06	5.28e-07	.0006169	-.0010783	.0000784	-.0003424	-.0012896	.0000837	-.0001696	.0000716	.000134	-.0002215	-5.75e-06	.0143654	-.0067307	.0018048
-.0000204	3.88e-06	-.0000153	.0000148	-5.84e-06	-.0010783	.0114416	-.000564	.000517	.0034101	-.0006532	.0002547	-.0002391	.0003831	.0002533	.0000838	-.1695176	.0113113	-.0038918
6.38e-06	-1.10e-06	-2.32e-06	3.23e-06	2.81e-07	.0000784	-.000564	.0028496	-.0010938	-.0005252	.0001596	-.0001369	.0000338	.0006959	-.0002011	-4.08e-06	.0085988	-.0000304	.0001524
-.0000172	1.43e-06	-3.35e-07	1.43e-06	-2.53e-07	-.0003424	.000517	-.0010938	.003421	.0013803	-.0003365	.0000878	-.0000109	-.0010795	4.79e-06	-4.67e-06	.0073333	.0034765	-.0010938
-.000024	4.87e-07	-.000025	8.05e-06	-1.70e-06	-.0012896	.0034101	-.0005252	.0013803	.0078264	-.0003136	.0004623	-.000159	-.0013143	.0003674	.0000212	-.0489847	.0154841	-.0038657
6.59e-06	-1.44e-07	5.43e-06	-6.46e-07	3.33e-07	.0000837	-.0006532	.0001596	-.0003365	-.0003136	.0019916	-.0001621	.0000208	-.0005748	-.000142	9.19e-06	-.0172512	-.0008684	.0005325
-6.11e-06	3.29e-08	-4.63e-06	7.20e-07	-1.26e-07	-.0001696	.0002547	-.0001369	.0000878	.0004623	-.0001621	.0003457	-.0000153	-.0001906	.0000707	4.06e-06	-.0086571	.0018745	-.000551
7.78e-07	-6.11e-07	1.52e-06	-1.87e-08	1.18e-07	.0000716	-.0002391	.0000338	-.0000109	-.000159	.0000208	-.0000153	.0000562	.0000202	-.0000551	-2.46e-06	.0054172	-.0008441	.0001949
-4.81e-06	6.98e-07	-.0000594	-2.96e-06	-1.95e-07	.000134	.0003831	.0006959	-.0010795	-.0013143	-.0005748	-.0001906	.0000202	.0120144	-.0001178	8.18e-06	-.0146592	-.0019511	.0001355
-5.12e-06	3.98e-07	-6.13e-06	-2.57e-06	-1.08e-07	-.0002215	.0002533	-.0002011	4.79e-06	.0003674	-.000142	.0000707	-.0000551	-.0001178	.0003044	-6.50e-06	.0100043	.0023569	-.0006829
3.60e-09	-2.66e-08	-2.66e-07	2.35e-07	-4.34e-08	-5.75e-06	.0000838	-4.08e-06	-4.67e-06	.0000212	9.19e-06	4.06e-06	-2.46e-06	8.18e-06	-6.50e-06	2.82e-06	-.0054769	.0000704	-2.62e-06
.0000604	.0000475	.0005885	-.0004492	.0000874	.0143654	-.1695176	.0085988	.0073333	-.0489847	-.0172512	-.0086571	.0054172	-.0146592	.0100043	-.0054769	10.67993	-.1727302	.0148136
-.000155	4.50e-06	-.000124	.0000276	-5.54e-06	-.0067307	.0113113	-.0000304	.0034765	.0154841	-.0008684	.0018745	-.0008441	-.0019511	.0023569	.0000704	-.1727302	.0785665	-.0186785
.0000499	-1.51e-06	.0000367	-6.16e-06	1.93e-06	.0018048	-.0038918	.0001524	-.0010938	-.0038657	.0005325	-.000551	.0001949	.0001355	-.0006829	-2.62e-06	.0148136	-.0186785	.0066594
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
