fe_fertility15vcv1	fe_fertility15vcv2	fe_fertility15vcv3	fe_fertility15vcv4	fe_fertility15vcv5	fe_fertility15vcv6	fe_fertility15vcv7	fe_fertility15vcv8	fe_fertility15vcv9
.0053947	-.0003449	-2.66e-06	6.37e-06	.0002181	-.0000815	-.0000126	-.0001627	.0266752
-.0003449	.0012534	-.0000233	-.0000158	-.0002252	-.0003239	.0001119	.0000992	-.2248056
-2.66e-06	-.0000233	.0000133	.0000149	-1.43e-06	.0000246	-9.02e-06	-.0000147	.0177873
6.37e-06	-.0000158	.0000149	.0000323	-4.54e-06	.000011	-9.83e-06	-.0000269	.0194821
.0002181	-.0002252	-1.43e-06	-4.54e-06	.0003838	.0003626	-.0000417	-.0002619	.0805338
-.0000815	-.0003239	.0000246	.000011	.0003626	.0007835	-.000086	-.0003387	.1651751
-.0000126	.0001119	-9.02e-06	-9.83e-06	-.0000417	-.000086	.0000242	.0000497	-.0476648
-.0001627	.0000992	-.0000147	-.0000269	-.0002619	-.0003387	.0000497	.0053788	-.0957667
.0266752	-.2248056	.0177873	.0194821	.0805338	.1651751	-.0476648	-.0957667	94.10637
								
								
								
								
								
								
								
								
								
								
								
