fe_fertilityexist3vcv1	fe_fertilityexist3vcv2	fe_fertilityexist3vcv3	fe_fertilityexist3vcv4	fe_fertilityexist3vcv5	fe_fertilityexist3vcv6	fe_fertilityexist3vcv7	fe_fertilityexist3vcv8	fe_fertilityexist3vcv9
.0015491	-.0000717	-.0000178	-.0000137	.0000159	.0000995	-5.64e-06	-.000188	.0106048
-.0000717	.0001008	3.17e-06	2.64e-06	-.0000109	-.0000298	5.30e-06	.0000295	-.0107154
-.0000178	3.17e-06	2.73e-06	1.80e-06	-2.27e-07	1.28e-06	-2.82e-07	-2.98e-07	.0005343
-.0000137	2.64e-06	1.80e-06	3.41e-06	2.82e-07	-1.90e-07	-6.37e-07	-1.61e-06	.0012552
.0000159	-.0000109	-2.27e-07	2.82e-07	.0000589	.0000441	-3.64e-06	9.78e-06	.0068865
.0000995	-.0000298	1.28e-06	-1.90e-07	.0000441	.0001033	-8.18e-06	-4.73e-06	.0154742
-5.64e-06	5.30e-06	-2.82e-07	-6.37e-07	-3.64e-06	-8.18e-06	1.22e-06	3.13e-06	-.0023813
-.000188	.0000295	-2.98e-07	-1.61e-06	9.78e-06	-4.73e-06	3.13e-06	.0015058	-.0062416
.0106048	-.0107154	.0005343	.0012552	.0068865	.0154742	-.0023813	-.0062416	4.642107
								
								
								
								
								
								
								
								
								
								
								
