fe_interact5vcv1	fe_interact5vcv2	fe_interact5vcv3	fe_interact5vcv4	fe_interact5vcv5	fe_interact5vcv6	fe_interact5vcv7	fe_interact5vcv8	fe_interact5vcv9	fe_interact5vcv10	fe_interact5vcv11
.000024	.0000151	.0000178	.0000134	-6.60e-07	-2.78e-07	9.81e-07	1.02e-06	-7.74e-08	6.49e-06	.0001352
.0000151	.0000438	.0000197	2.20e-06	7.97e-08	-1.91e-08	-1.90e-06	9.34e-07	-4.01e-08	-1.29e-06	.0000662
.0000178	.0000197	.000026	7.94e-06	-8.81e-07	-6.90e-08	7.96e-07	8.90e-07	-1.19e-07	6.98e-06	.00022
.0000134	2.20e-06	7.94e-06	.0005051	-2.79e-06	-5.64e-06	6.31e-06	4.68e-06	-2.57e-06	.0000151	.0047696
-6.60e-07	7.97e-08	-8.81e-07	-2.79e-06	7.98e-07	9.49e-08	-2.87e-07	-1.19e-07	3.70e-08	4.52e-07	-.0000707
-2.78e-07	-1.91e-08	-6.90e-08	-5.64e-06	9.49e-08	1.87e-07	-1.62e-08	7.52e-09	1.61e-08	-3.42e-07	-.0000291
9.81e-07	-1.90e-06	7.96e-07	6.31e-06	-2.87e-07	-1.62e-08	4.85e-06	7.58e-07	-9.70e-08	-5.78e-07	.0001815
1.02e-06	9.34e-07	8.90e-07	4.68e-06	-1.19e-07	7.52e-09	7.58e-07	1.35e-06	-1.17e-07	3.26e-07	.0002174
-7.74e-08	-4.01e-08	-1.19e-07	-2.57e-06	3.70e-08	1.61e-08	-9.70e-08	-1.17e-07	2.55e-08	-4.76e-08	-.0000481
6.49e-06	-1.29e-06	6.98e-06	.0000151	4.52e-07	-3.42e-07	-5.78e-07	3.26e-07	-4.76e-08	.000076	.0000832
.0001352	.0000662	.00022	.0047696	-.0000707	-.0000291	.0001815	.0002174	-.0000481	.0000832	.0904998
										
										
										
										
										
										
										
										
										
