fe_mpopvcv1	fe_mpopvcv2	fe_mpopvcv3	fe_mpopvcv4	fe_mpopvcv5	fe_mpopvcv6	fe_mpopvcv7	fe_mpopvcv8
.0000862	-1.60e-06	-1.51e-07	-7.19e-07	1.41e-06	8.50e-07	1.91e-07	-.0002513
-1.60e-06	.0000109	-5.27e-07	-3.19e-07	1.66e-06	-1.07e-06	-1.67e-06	.0023459
-1.51e-07	-5.27e-07	4.94e-07	3.80e-07	-1.55e-07	-1.02e-07	6.76e-08	-.0000866
-7.19e-07	-3.19e-07	3.80e-07	5.92e-07	-1.73e-07	6.32e-08	9.63e-09	8.49e-06
1.41e-06	1.66e-06	-1.55e-07	-1.73e-07	6.77e-06	1.06e-06	-3.66e-07	.0005692
8.50e-07	-1.07e-06	-1.02e-07	6.32e-08	1.06e-06	5.21e-06	-1.78e-07	.0004039
1.91e-07	-1.67e-06	6.76e-08	9.63e-09	-3.66e-07	-1.78e-07	3.32e-07	-.0005084
-.0002513	.0023459	-.0000866	8.49e-06	.0005692	.0004039	-.0005084	.7969215
							
							
							
							
							
							
							
							
							
							
							
							
