fe_polem15vcv1	fe_polem15vcv2	fe_polem15vcv3	fe_polem15vcv4	fe_polem15vcv5	fe_polem15vcv6	fe_polem15vcv7	fe_polem15vcv8	fe_polem15vcv9
.0000838	.0001161	-1.46e-06	-1.64e-06	-5.53e-06	6.99e-06	-1.21e-06	3.52e-06	.0022576
.0001161	.0019997	-.0000105	-.0000241	4.50e-07	.000038	-.0000104	.0000112	.0191809
-1.46e-06	-.0000105	6.98e-07	4.17e-07	3.01e-07	2.41e-07	4.14e-08	-4.97e-08	-.0000784
-1.64e-06	-.0000241	4.17e-07	9.13e-07	3.15e-07	-4.15e-07	6.71e-08	-7.44e-07	-.0001174
-5.53e-06	4.50e-07	3.01e-07	3.15e-07	.000014	1.63e-06	-1.77e-07	-1.96e-06	.000333
6.99e-06	.000038	2.41e-07	-4.15e-07	1.63e-06	8.07e-06	-7.78e-07	-8.21e-07	.0014442
-1.21e-06	-.0000104	4.14e-08	6.71e-08	-1.77e-07	-7.78e-07	1.44e-07	-3.03e-09	-.0002719
3.52e-06	.0000112	-4.97e-08	-7.44e-07	-1.96e-06	-8.21e-07	-3.03e-09	.0001735	6.37e-06
.0022576	.0191809	-.0000784	-.0001174	.000333	.0014442	-.0002719	6.37e-06	.5131463
								
								
								
								
								
								
								
								
								
								
								
