fe_polembd5vcv1	fe_polembd5vcv2	fe_polembd5vcv3	fe_polembd5vcv4	fe_polembd5vcv5	fe_polembd5vcv6	fe_polembd5vcv7	fe_polembd5vcv8	fe_polembd5vcv9
1.28e-06	-2.39e-06	-9.69e-09	1.21e-07	3.23e-07	6.59e-07	-9.71e-08	-2.77e-06	.0001864
-2.39e-06	.000742	-1.67e-06	-5.42e-06	.0000137	8.26e-06	-4.76e-06	.0000119	.0089651
-9.69e-09	-1.67e-06	8.50e-07	1.43e-07	1.35e-07	9.31e-08	1.71e-08	1.85e-06	-.0000341
1.21e-07	-5.42e-06	1.43e-07	2.36e-07	3.99e-08	9.96e-08	-1.65e-09	-7.66e-07	4.93e-06
3.23e-07	.0000137	1.35e-07	3.99e-08	5.97e-06	1.37e-06	-1.96e-07	-4.49e-06	.0003682
6.59e-07	8.26e-06	9.31e-08	9.96e-08	1.37e-06	2.45e-06	-2.71e-07	-1.39e-06	.000511
-9.71e-08	-4.76e-06	1.71e-08	-1.65e-09	-1.96e-07	-2.71e-07	7.41e-08	3.42e-07	-.0001416
-2.77e-06	.0000119	1.85e-06	-7.66e-07	-4.49e-06	-1.39e-06	3.42e-07	.0001148	-.0006686
.0001864	.0089651	-.0000341	4.93e-06	.0003682	.000511	-.0001416	-.0006686	.2710441
								
								
								
								
								
								
								
								
								
								
								
