fe_polemintermed0vcv1	fe_polemintermed0vcv2	fe_polemintermed0vcv3	fe_polemintermed0vcv4	fe_polemintermed0vcv5	fe_polemintermed0vcv6	fe_polemintermed0vcv7	fe_polemintermed0vcv8	fe_polemintermed0vcv9	fe_polemintermed0vcv10	fe_polemintermed0vcv11	fe_polemintermed0vcv12	fe_polemintermed0vcv13	fe_polemintermed0vcv14
1.77e-06	-3.13e-08	-1.02e-06	-7.47e-07	-3.49e-08	3.01e-08	-5.97e-08	-1.41e-08	-2.10e-08	-3.31e-08	-8.98e-09	-1.70e-09	-8.57e-07	9.10e-07
-3.13e-08	.0000259	-3.15e-06	-7.75e-07	1.14e-07	-7.71e-08	1.63e-06	-5.24e-07	-3.28e-07	7.29e-07	3.36e-07	-1.15e-07	-1.24e-06	.000218
-1.02e-06	-3.15e-06	6.99e-06	6.25e-07	7.16e-07	5.05e-08	-8.78e-07	-8.30e-08	5.62e-08	-2.61e-07	-2.90e-08	2.10e-09	2.14e-07	-7.21e-06
-7.47e-07	-7.75e-07	6.25e-07	2.75e-06	-1.92e-07	-3.88e-08	7.36e-07	9.49e-08	4.73e-08	-1.68e-07	-2.18e-08	1.10e-08	4.42e-07	-.0000188
-3.49e-08	1.14e-07	7.16e-07	-1.92e-07	1.05e-06	1.61e-08	5.11e-07	8.83e-09	-1.10e-09	3.34e-08	-9.86e-09	-7.41e-10	8.70e-07	-9.95e-08
3.01e-08	-7.71e-08	5.05e-08	-3.88e-08	1.61e-08	3.02e-08	-7.74e-08	-1.70e-09	4.64e-10	-2.70e-08	-2.82e-08	-3.01e-09	-4.97e-08	3.47e-06
-5.97e-08	1.63e-06	-8.78e-07	7.36e-07	5.11e-07	-7.74e-08	8.07e-06	1.32e-07	6.85e-09	2.04e-07	1.56e-07	4.14e-09	1.56e-06	-3.97e-06
-1.41e-08	-5.24e-07	-8.30e-08	9.49e-08	8.83e-09	-1.70e-09	1.32e-07	2.11e-07	1.18e-08	-3.13e-08	-1.77e-08	4.69e-09	2.15e-07	-8.74e-06
-2.10e-08	-3.28e-07	5.62e-08	4.73e-08	-1.10e-09	4.64e-10	6.85e-09	1.18e-08	1.03e-08	-3.85e-09	-4.44e-09	1.32e-09	2.81e-08	-2.48e-06
-3.31e-08	7.29e-07	-2.61e-07	-1.68e-07	3.34e-08	-2.70e-08	2.04e-07	-3.13e-08	-3.85e-09	7.43e-07	7.77e-08	-3.51e-09	-9.34e-08	8.38e-06
-8.98e-09	3.36e-07	-2.90e-08	-2.18e-08	-9.86e-09	-2.82e-08	1.56e-07	-1.77e-08	-4.44e-09	7.77e-08	7.31e-08	-1.32e-09	-3.28e-08	4.41e-06
-1.70e-09	-1.15e-07	2.10e-09	1.10e-08	-7.41e-10	-3.01e-09	4.14e-09	4.69e-09	1.32e-09	-3.51e-09	-1.32e-09	1.24e-09	1.77e-08	-2.11e-06
-8.57e-07	-1.24e-06	2.14e-07	4.42e-07	8.70e-07	-4.97e-08	1.56e-06	2.15e-07	2.81e-08	-9.34e-08	-3.28e-08	1.77e-08	.0000131	-.0000299
9.10e-07	.000218	-7.21e-06	-.0000188	-9.95e-08	3.47e-06	-3.97e-06	-8.74e-06	-2.48e-06	8.38e-06	4.41e-06	-2.11e-06	-.0000299	.0037164
													
													
													
													
													
													
